timestamp	bpm
2026-02-03 23:47:09	—
2026-02-03 23:48:08	68
2026-02-03 23:49:09	95
2026-02-03 23:50:09	88
2026-02-03 23:51:09	84
2026-02-03 23:52:10	83
2026-02-03 23:53:09	90
2026-02-03 23:54:11	72
2026-02-03 23:55:12	75
2026-02-03 23:56:12	86
2026-02-03 23:57:13	94
2026-02-03 23:58:13	81
2026-02-03 23:59:15	84
2026-02-04 00:00:16	81
2026-02-04 00:01:16	75
2026-02-04 00:02:18	84
2026-02-04 00:03:18	89
2026-02-04 00:04:19	77
2026-02-04 00:05:13	88
2026-02-04 00:06:23	66
2026-02-04 00:07:24	74
2026-02-04 00:08:26	75
2026-02-04 00:09:27	65
2026-02-04 00:10:29	71
2026-02-04 00:11:29	83
2026-02-04 00:12:30	72
2026-02-04 00:13:29	77
2026-02-04 00:14:35	83
2026-02-04 00:15:39	71
2026-02-04 00:16:37	79
2026-02-04 00:17:47	68
2026-02-04 00:18:49	74
2026-02-04 00:19:54	80
2026-02-04 00:20:57	80
2026-02-04 00:21:58	80
2026-02-04 00:22:58	80
2026-02-04 00:24:02	80
2026-02-04 00:25:05	80
2026-02-04 00:26:09	80
2026-02-04 00:27:09	80
2026-02-04 00:28:12	80
2026-02-04 00:29:17	80
2026-02-04 00:30:20	80
2026-02-04 00:31:22	80
2026-02-04 00:32:26	80
2026-02-04 00:33:28	80
2026-02-04 00:34:32	80
2026-02-04 00:35:33	80
2026-02-04 00:36:37	80
2026-02-04 00:37:42	80
2026-02-04 00:38:44	80
2026-02-04 00:39:49	80
2026-02-04 00:40:54	80
2026-02-04 00:42:02	80
2026-02-04 00:43:02	96
2026-02-04 00:44:12	54
2026-02-04 00:45:14	58
2026-02-04 00:46:17	57
2026-02-04 00:47:18	57
2026-02-04 00:48:22	58
2026-02-04 00:49:22	57
2026-02-04 00:50:27	56
2026-02-04 00:51:30	56
2026-02-04 00:52:33	55
2026-02-04 00:53:37	57
2026-02-04 00:54:39	57
2026-02-04 00:55:43	59
2026-02-04 00:56:47	57
2026-02-04 00:57:48	56
2026-02-04 00:58:51	57
2026-02-04 00:59:55	57
2026-02-04 01:00:57	58
2026-02-04 01:02:01	57
2026-02-04 01:03:03	54
2026-02-04 01:04:07	58
2026-02-04 01:05:14	56
2026-02-04 01:06:15	56
2026-02-04 01:07:24	57
2026-02-04 01:08:25	53
