timestamp	bpm	x	y	z
2026-02-07 21:51:27	66	55	86	24
2026-02-07 21:51:27	66	23	115	4
2026-02-07 21:51:27	66	11	107	42
2026-02-07 21:51:27	66	86	-2	-109
2026-02-07 21:51:27	66	78	138	-195
2026-02-07 21:51:27	66	6	102	-118
2026-02-07 21:51:27	66	18	91	-43
2026-02-07 21:51:27	66	5	72	-82
2026-02-07 21:51:27	66	114	121	-262
2026-02-07 21:51:27	66	4	57	-92
2026-02-07 21:51:27	66	11	93	59
2026-02-07 21:51:27	66	-69	24	-28
2026-02-07 21:51:27	66	27	118	-21
2026-02-07 21:51:27	66	154	-97	63
2026-02-07 21:51:27	66	79	-15	47
2026-02-07 21:51:27	66	79	-15	47
2026-02-07 21:51:27	66	79	-15	47
2026-02-07 21:51:27	66	79	-15	47
2026-02-07 21:51:27	66	79	-15	47
2026-02-07 21:51:27	66	79	-15	47
2026-02-07 21:51:27	66	79	-15	47
2026-02-07 21:51:27	66	79	-15	47
2026-02-07 21:51:27	66	79	-15	47
2026-02-07 21:51:27	66	79	-15	47
2026-02-07 21:51:27	66	79	-15	47
2026-02-07 21:51:27	66	79	-15	47
2026-02-07 21:51:27	66	79	-15	47
2026-02-07 21:51:27	66	79	-15	47
2026-02-07 21:51:27	66	79	-15	47
2026-02-07 21:51:27	66	79	-15	47
2026-02-07 21:51:27	66	79	-15	47
2026-02-07 21:51:27	66	79	-15	47
2026-02-07 21:51:27	66	79	-15	47
2026-02-07 21:51:27	66	79	-15	47
2026-02-07 21:51:27	66	79	-15	47
2026-02-07 21:51:27	66	79	-15	47
2026-02-07 21:51:27	66	79	-15	47
2026-02-07 21:51:27	66	79	-15	47
2026-02-07 21:51:27	66	79	-15	47
2026-02-07 21:51:27	66	79	-15	47
2026-02-07 21:51:27	66	79	-15	47
2026-02-07 21:51:27	66	79	-15	47
2026-02-07 21:51:27	66	79	-15	47
2026-02-07 21:51:27	66	79	-15	47
2026-02-07 21:51:27	66	79	-15	47
2026-02-07 21:51:27	66	79	-15	47
2026-02-07 21:51:27	66	79	-15	47
2026-02-07 21:51:27	66	79	-15	47
2026-02-07 21:51:27	66	79	-15	47
